id;ele_cat_code;ele_cat_name;ele_code;ele_name;parent_id;level_no;is_leaf;is_enabled;create_time;update_time
1;superstructure;Bermuda;District deposit users;turn-key Burundi TCP;invoice Market Gloves;5203;true;false;Soft COM 安徽省;clicks-and-mortar invoice haptic
2;niches Quality;澳门;array 24/7;GB;driver Togo Factors;72650;true;true;killer;Congo Bedfordshire
3;Fresh;Beauty;calculating Practical;green grey Keyboard;Internal Croatia;22101;false;false;purple visualize Avon;Customizable payment
4;Direct;Fresh;Credit Unbranded;Slovenia cross-media world-class;aggregate;71938;false;true;multi-byte;Industrial
5;Music customized;上海市;turn-key;安徽省 deposit invoice;Group;96754;true;false;EXE;invoice
6;virtual;orange 栋 Practical;parse;Rubber;digital;91418;true;false;bypass;invoice Object-based Buckinghamshire
7;Bermuda ivory and;Burundi;copying;Internal;Designer;76684;false;true;Marketing regional Infrastructure;SAS Salad
8;Bedfordshire;sensor;Tuna;Metal Republic;1080p sexy capacitor;22916;true;true;motivating Optional;online systemic Generic
9;Factors;Tasty Practical copying;distributed neural programming;deposit Lead;lime Programmable didactic;64990;false;true;disintermediate XML action-items;湖南省 Sausages Account
10;Account;invoice;grey Keyboard 旁;SMTP Card;Avon Personal Soft;47694;true;true;Incredible Omani;International
