id;col_cname;col_ename;tab_id;order_num;source;is_edit;requirement;type;config
1;recontextualize USB implement;Avon mobile salmon;79921;20685;out-of-the-box benchmark;false;true;Buckinghamshire;Republic
2;Computer Rupee;巷;69030;95913;open-source;true;true;Business-focused;Bike
3;hub generate;United Avon;20139;8307;hacking;false;false;Savings withdrawal Research;AI
4;Cotton multimedia 海南省;台湾省;57194;88922;Interface;true;true;Refined;Health
5;Senior;invoice;19188;67594;侬 hub;false;true;ability needs-based;Money Aruba Account
6;open-source blue;Health RSS;9332;48474;contextually-based user;true;true;generating;Division Supervisor Handcrafted
7;capacitor Vision-oriented;ROI Expanded;18563;58741;Consultant seize;true;true;open-source Avon;magenta integrate ubiquitous
8;Loan Proactive Dynamic;circuit Manat;53318;67586;cross-platform 广西省;false;false;Account;pixel
9;Sleek;brand;40925;12316;extensible foreground;true;false;HDD Cambridgeshire;invoice
10;synthesizing;街;91803;20966;Accounts 青海省 National;true;true;full-range indexing Cambridgeshire;Organized Market
