id;tab_cname;tab_ename;config;enable
1;Bacon 湖北省 Shoes;synthesize;redefine;true
2;yellow;actuating 广西省 Salad;cultivate;false
3;pixel Kwacha copy;侬;Rwanda 青海省 Guam;true
4;Product Planner;payment monitor matrix;Dinar Avon systematic;true
5;withdrawal 中心;台湾省;bandwidth;true
6;1080p;quantify plug-and-play salmon;Soft;true
7;lavender Pants;Dynamic Implementation invoice;Bedfordshire 贵州省 街;false
8;partnerships;黑龙江省 Designer;Bedfordshire;false
9;Nauru FTP Lesotho;secondary Outdoors cross-platform;Small calculating Health;true
10;Tools paradigms;安徽省 Chicken Handcrafted;analyzer lime Soap;true
