id;rule_id;left_bracket;jhi_column;op;value;right_bracket;ordernum;logical_rel
1;overriding 澳门;"(";ADP strategize Global;protocol Markets;天津市;")";71880;microchip
2;generating Industrial pink;"(";Borders;Liaison;niches green yellow;")";24877;client-driven Account blue
3;Mouse Re-engineered;"(";街 Cross-group SAS;hub Direct Steel;fault-tolerant Automotive;")";42891;protocol feed
4;Chips;"(";complexity Manager;Tasty;Market;")";42293;Account multi-tasking SQL
5;Agent invoice application;"(";Table card;Lead;PNG value-added override;")";16721;mindshare complexity
6;Strategist purple;"(";Global;De-engineered interface;International matrix;")";61283;withdrawal
7;Table 重庆市;"(";TCP;bandwidth-monitored innovative deploy;Brand Buckinghamshire innovative;")";4653;Associate frame markets
8;路 Generic action-items;"(";江苏省;asymmetric;Chips payment Intelligent;")";72626;Account Gorgeous salmon
9;e-business Multi-channelled;"(";navigating;Cambridgeshire optimize;Hat JBOD Avon;")";39292;云南省
10;Rubber Solomon Fish;"(";Multi-layered Horizontal 侬;旁 auxiliary;Ergonomic incremental withdrawal;")";96497;archive
