id;code;name;rule_sql
1;Assistant XML Specialist;alarm Architect;connect invoice connecting
2;synergy THX Investment;indexing Cloned;deposit Quality enable
3;deposit interface USB;Frozen invoice;embrace mobile 天津市
4;Sports AGP;Wooden;Seamless
5;Administrator microchip Steel;lime;hacking
6;bypassing;grid-enabled payment Security;Bedfordshire Operative neutral
7;Robust Bike;Pataca;throughput Loan
8;partnerships District Buckinghamshire;巷;firewall Home Bedfordshire
9;deliverables migration;experiences forecast;panel
10;Tuna;路;Mobility
