id;rule_id;role_id;menu_id
1;Personal;Strategist 栋 Senior;frictionless Gloves
2;payment;bus;Integration Fish Handcrafted
3;Baby Steel 9(E.U.A.-9);Pants Cambridgeshire;Bike Cambridgeshire orchestrate
4;Gorgeous;matrix teal;Berkshire Bedfordshire
5;facilitate Monitored bypassing;Palladium front-end;loyalty Principal (Slovak
6;driver connect Direct;Division;Salad Ruble invoice
7;bypassing Monetary;e-commerce;Dynamic pixel National
8;桥;deposit incentivize;Cotton
9;bypass Licensed;transmitting 侬;systematic turquoise XML
10;SMS Towels Hat;vortals Creative;Dirham
