id;tab_ename;col_ename;cal_formula;cal_formula_des;round_type;weight;enable
1;Ecuador Personal;中心 Avon;azure;invoice application Loan;Operative Product asymmetric;25713;true
2;deposit Cotton Steel;Fresh cutting-edge Investor;relationships;parse Tuna Generic;yellow context-sensitive;52607;false
3;Supervisor Pizza Fantastic;SMS EXE Computers;bypass hacking e-markets;Money circuit up;bypassing;65272;false
4;Assistant Kyat Awesome;black SMTP;Lilangeni whiteboard Associate;Licensed Visionary Metical;Loti Thailand;5588;false
5;efficient;栋 Keyboard;Borders;Licensed;robust Practical;79169;true
6;Pizza tan;process Australia;envisioneer;strategy;Dollar;96751;false
7;International world-class;Regional;Books Universal Soft;panel invoice Books;open-source deposit Factors;25501;true
8;optimal 辽宁省;Chief;Global;Infrastructure;Planner engage;37858;false
9;Phased magnetic website;Solomon;calculate 栋;Wooden;浙江省 up Metical;31169;false
10;Macedonia Avon invoice;Checking;overriding;actuating 侬 Music;open-source;64331;false
