id;code;name;value;remark;enable
1;loyalty Wooden;Dalasi non-volatile Factors;Angola;Adaptive cohesive;false
2;Checking Loan;ADP bluetooth;synergies payment;RSS;true
3;yellow Bacon content;Account bricks-and-clicks;olive COM overriding;array;false
4;impactful Wooden 桥;turquoise;Optional;Accountability;false
5;copying;Account Programmable 台湾省;Principal;贵州省;false
6;Executive 上海市;路 Computers protocol;侬;Grocery;true
7;Kids Human incentivize;navigate Direct Ameliorated;Account tan;expedite Virtual;false
8;vortals override human-resource;山东省 parse Bedfordshire;payment Auto;Concrete pink neural;true
9;capacitor Computer;巷;Plastic;deposit Customizable;true
10;Avon Home;巷;feed concept;orchestration Metrics;true
