id;name;cron_expression;start_class;enable
1;Bacon 巷;Quality Berkshire Rustic;redefine;false
2;Intelligent;Books;Kina innovate Account;false
3;secondary Syrian Infrastructure;Avon transmitter;Lilangeni;true
4;Fantastic;Guatemala Avon;sensor Computers deposit;true
5;navigating;knowledge reboot;Data Account;false
6;Norfolk ivory;Automotive deposit;Rican magenta;true
7;redefine;Account;solid;false
8;neural Borders Electronics;Gorgeous generation EXE;multi-tasking;true
9;bleeding-edge Account Paradigm;栋 archive white;orange;false
10;Accounts Ball lime;B2B 海南省;Cocos;false
