id;menuid;code;name;ordernum;issource;isedit;requirement;type;placeholder;config
1;45102;streamline 1080p;Principal green seamless;5227;true;false;true;withdrawal Buckinghamshire;Marketing compressing;Accountability Steel
2;47181;SDR;Metal moderator Awesome;21446;false;true;true;parse next;De-engineered Automated Games;Account circuit Borders
3;67741;路;Steel Berkshire;72243;true;false;true;Leu;Gloves Clothing;Fantastic
4;61477;turn-key;Music Dirham local;69058;false;false;false;utilisation ADP Borders;orange Principal;Configuration
5;22330;circuit 路;Nauru state Kids;9021;false;true;true;synthesize;withdrawal transmitting;Tools
6;27135;calculate;navigate;88009;true;true;false;Bedfordshire Steel collaboration;Franc Technician Infrastructure;reboot
7;1714;driver Garden;end-to-end Cambridgeshire Interface;8472;false;true;true;Bedfordshire;Soap override matrix;Infrastructure Sharable Beauty
8;12716;generate Bedfordshire Coordinator;web-readiness Ergonomic;77942;false;false;false;Hat indexing;Licensed reintermediate Usability;Home Soap implementation
9;48973;tan payment copying;AI Ergonomic Auto;96771;false;false;true;Account haptic;cultivate;Malagasy navigate
10;96990;discrete Games;Savings;79596;true;true;true;Principal Developer Shoes;山东省 Intelligent FTP;calculating Grocery global
