id;menuid;code;name;ordernum;issource;requirement;type;placeholder;config
1;55608;initiatives;bypass;8147;true;false;Markets solid;connect real-time;街
2;38706;zero Planner;Canada 上海市 Seamless;75601;false;true;Borders Analyst Money;Soft;Pre-emptive circuit Bolivar
3;55817;port Somali;Dynamic PNG functionalities;11111;false;false;Gorgeous payment;encoding;Tuna Music
4;35717;侬 Steel;Dollar;93418;true;false;Regional Frozen payment;街 bypassing Rustic;Ergonomic 路
5;31152;magnetic drive;Orchestrator Loan;47248;false;true;coherent Incredible;Lesotho Avon;website Steel
6;68397;街 Implemented fuchsia;homogeneous;81689;false;false;Metrics;Facilitator alarm;hybrid
7;45325;Infrastructure Movies;schemas 24/7;55428;false;false;mindshare Investor Optional;invoice;Solutions Producer multi-tasking
8;81596;Officer online brand;lime Zimbabwe payment;50347;false;false;Table Steel;Car generate;Incredible
9;18701;Pants HTTP;monetize;71006;false;false;Niger payment;Granite Gorgeous Multi-lateral;Human non-volatile withdrawal
10;12453;Interactions hacking;program;57500;true;true;Somoni;metrics Incredible Loan;Steel
