id;menuid;code;name;ordernum;config
1;59725;Chief backing eco-centric;infrastructures Bulgarian User-friendly;81046;partnerships IB Account
2;75141;Berkshire;Dollar 广东省 Steel;95830;Function-based 巷
3;40762;systems architectures connect;侬;23802;Mandatory
4;73716;blockchains azure application;Group 湖北省;94370;programming
5;46662;connect 天津市 withdrawal;Bedfordshire Fish;29744;Cambridgeshire Intelligent attitude-oriented
6;57864;Shilling face;Rand Gorgeous Avon;92617;transitional Berkshire Fresh
7;8721;wireless transmit Usability;Centralized;32441;bricks-and-clicks Direct fresh-thinking
8;64516;桥 deposit;bottom-line COM Incredible;54935;Buckinghamshire neural green
9;33805;Manager;Account bricks-and-clicks solution;53971;monitoring
10;31745;Focused bus Product;open-source;85399;Plastic 辽宁省
