id;menuid;code;name;ordernum;issource;isedit;requirement;type;config
1;67074;Digitized Metal orange;synthesize Dollar;61053;false;false;false;Tasty Shoes;didactic paradigm 江西省
2;72401;街 Inverse Licensed;Comoros Granite SMS;76430;true;true;true;programming;Cambridgeshire
3;27751;hacking salmon content;input wireless;17375;false;true;true;Awesome;Automated Morocco deposit
4;15014;explicit;Coordinator Handmade paradigms;18990;false;false;true;alarm;payment Islands
5;16887;Tasty;Lithuania RAM Steel;86142;true;true;false;Electronics disintermediate;optical Bedfordshire envisioneer
6;53137;purple drive Bedfordshire;Myanmar Creative;99141;true;false;true;Internal Guam;green Marshall
7;99360;Solutions bandwidth;Sports synthesizing vertical;27311;true;false;true;bypassing;Markets
8;30130;Steel Tuna violet;Infrastructure;74482;true;false;true;Identity;connecting withdrawal
9;28448;encoding Jewelery;firewall Rubber;71860;true;false;true;Intelligent bleeding-edge Pizza;Concrete analyzer navigating
10;55545;Music mindshare;backing;14194;false;true;true;旁 collaborative;Fantastic
