id;menuid;code;name;ordernum;action;config
1;58345;贵州省 Rubber;pixel Cotton users;14442;中心 上海市;Planner transmitter
2;33536;invoice Generic;impactful;79131;Granite;路 quantify
3;17818;Account Fresh;task-force Steel copy;46201;parsing overriding protocol;deposit
4;49498;Paradigm Austria cultivate;Industrial;68353;Organized;open-source
5;34656;override Azerbaijanian back-end;Beauty extranet;39311;mint disintermediate Checking;3rd
6;92376;Personal;Metal wireless;81104;Unbranded user-facing;Manager Avon
7;77779;reintermediate Awesome approach;metrics e-markets;74214;Corporate User-centric Taka;generation Loan Towels
8;71498;copy;analyzing web-readiness leading;2377;Tuna;Beauty
9;60242;Brand bypass;Total;74604;revolutionize;Avon sexy
10;7125;Rubber Organic;deposit parse 1080p;52175;installation programming;澳门
