id;type;start_time;end_time;reason;file;superior;wfstatus;leave_person
1;Baby;SDR RSS;SDD 路;Bacon;primary 黑龙江省 hack;23281;calculating SMS Dollar;Markets Industrial
2;revolutionary;composite expedite Borders;intelligence parsing;program fuchsia;optimal;79558;SCSI mint;Rubber Chief
3;cross-platform;Ngultrum mobile;grow payment purple;Dobra JSON;web-enabled Ergonomic;87652;Tasty;multi-byte
4;networks Intelligent fuchsia;Borders Cotton 街;firewall;payment;Investment viral;26787;AGP Dynamic;needs-based
5;Senior SQL;Ghana Awesome Ball;Communications;侬;Cambridgeshire Buckinghamshire;39298;Automated value-added Checking;connecting Tasty Antilles
6;wireless deposit;back-end Kwacha Shoes;Grocery Salvador;Gorgeous Plastic;侬;2117;Function-based Movies networks;Awesome 吉林省
7;Soap interface 天津市;bypass Handcrafted;Steel Shirt payment;Paradigm Versatile;Group Re-engineered;54638;香港 Checking;Wooden Decentralized
8;Vision-oriented payment panel;Macao;logistical SMS;Liaison;Market foreground;59932;Programmable Account;hacking holistic
9;Checking bus Tuna;Quality;Account turn-key structure;hacking ivory;functionalities Berkshire;30313;PCI Buckinghamshire;generate Refined
10;SAS;Senior Music Liaison;intermediate;Loan indigo;payment;97563;Gloves Tasty;transmitting 桥
